"","solution","distance","distance_from_optimum"
"13","68, 27, 8, 7, 14, 53, 19, 54, 20, 74, 5, 47, 6, 75, 10, 58, 31, 38, 35, 13, 52, 34, 65, 59, 11, 66, 67, 26, 46, 76, 45, 17, 12, 4, 3, 18, 25, 32, 55, 50, 72, 39, 51, 16, 1, 63, 22, 28, 56, 49, 24, 44, 9, 40, 29, 21, 62, 64, 41, 42, 43, 23, 61, 69, 71, 70, 60, 36, 37, 15, 57, 30, 48, 33, 73, 2",1086.96886231969,541.968862319686
"14","10, 38, 7, 4, 2, 42, 1, 73, 33, 72, 35, 46, 27, 34, 54, 13, 75, 76, 52, 29, 15, 5, 21, 69, 36, 45, 68, 51, 6, 23, 43, 41, 64, 22, 16, 63, 26, 17, 40, 3, 49, 61, 62, 28, 48, 20, 70, 60, 37, 71, 47, 74, 30, 67, 57, 14, 53, 11, 59, 66, 65, 31, 58, 19, 8, 12, 9, 32, 44, 18, 55, 24, 56, 25, 50, 39",1057.31612469424,512.31612469424
"15","50, 35, 59, 11, 31, 72, 65, 38, 7, 54, 45, 5, 47, 74, 30, 29, 13, 57, 15, 27, 67, 26, 34, 46, 40, 39, 55, 32, 51, 61, 71, 36, 60, 37, 14, 52, 4, 62, 73, 23, 56, 63, 16, 33, 1, 41, 22, 28, 2, 75, 76, 17, 68, 42, 64, 43, 6, 21, 69, 20, 70, 48, 19, 8, 53, 66, 10, 58, 9, 25, 24, 18, 49, 12, 3, 44",1109.6682885682,564.668288568203
"16","64, 43, 73, 44, 24, 18, 9, 12, 31, 66, 14, 37, 29, 36, 5, 20, 60, 71, 15, 70, 57, 13, 53, 10, 40, 50, 3, 39, 55, 32, 6, 68, 16, 63, 33, 1, 54, 27, 74, 30, 48, 4, 8, 7, 58, 72, 35, 47, 21, 69, 45, 52, 46, 34, 19, 59, 65, 38, 11, 25, 17, 75, 26, 67, 76, 51, 2, 28, 62, 61, 22, 42, 41, 23, 49, 56",1132.86136798044,587.861367980439
"17","69, 61, 64, 47, 12, 51, 6, 33, 17, 67, 72, 58, 10, 38, 65, 11, 59, 7, 26, 76, 75, 27, 29, 37, 15, 4, 34, 19, 66, 14, 35, 8, 46, 57, 52, 13, 53, 45, 68, 24, 18, 16, 1, 42, 62, 22, 28, 48, 5, 54, 20, 70, 36, 74, 21, 23, 56, 41, 43, 3, 44, 9, 31, 32, 39, 40, 50, 25, 55, 49, 63, 73, 2, 30, 60, 71",1084.13303686858,539.13303686858
"18","38, 14, 19, 53, 35, 8, 45, 15, 70, 48, 67, 26, 7, 72, 12, 27, 5, 21, 47, 69, 61, 43, 22, 42, 16, 73, 62, 1, 41, 64, 28, 29, 30, 4, 20, 36, 37, 60, 71, 54, 57, 13, 52, 74, 33, 2, 51, 55, 24, 49, 18, 44, 50, 75, 68, 46, 34, 76, 17, 9, 39, 23, 56, 63, 6, 10, 58, 32, 40, 3, 25, 31, 65, 11, 59, 66",1107.54588408728,562.545884087283
"19","3, 51, 49, 23, 24, 18, 39, 31, 38, 65, 53, 7, 26, 19, 57, 29, 5, 74, 62, 76, 68, 45, 15, 21, 37, 60, 71, 36, 61, 16, 33, 22, 73, 6, 64, 42, 1, 63, 43, 56, 41, 28, 2, 69, 70, 20, 47, 48, 30, 67, 72, 17, 32, 44, 25, 9, 55, 50, 14, 59, 66, 11, 58, 10, 40, 35, 8, 4, 27, 13, 54, 52, 34, 46, 75, 12",1054.11183413619,509.111834136194
"20","9, 55, 72, 40, 67, 35, 38, 7, 26, 46, 4, 54, 34, 76, 75, 17, 12, 39, 16, 33, 62, 43, 24, 49, 44, 18, 3, 13, 57, 70, 69, 60, 45, 30, 27, 52, 8, 58, 10, 11, 65, 66, 59, 53, 14, 19, 32, 63, 61, 47, 5, 2, 74, 21, 73, 42, 64, 41, 56, 28, 29, 48, 37, 20, 36, 71, 15, 68, 6, 51, 1, 22, 23, 50, 25, 31",1127.11695130626,582.116951306255
"21","32, 50, 55, 31, 66, 11, 14, 59, 19, 4, 12, 10, 65, 38, 7, 26, 53, 54, 35, 8, 46, 34, 67, 76, 51, 17, 62, 2, 6, 63, 24, 25, 9, 18, 16, 28, 61, 69, 21, 74, 30, 47, 29, 45, 48, 36, 37, 60, 71, 70, 20, 57, 15, 5, 13, 27, 52, 68, 75, 33, 1, 22, 42, 41, 64, 43, 56, 73, 23, 44, 49, 3, 39, 58, 72, 40",917.166485829672,372.166485829672
"22","12, 17, 76, 75, 6, 27, 5, 47, 71, 36, 20, 70, 60, 69, 29, 48, 2, 33, 73, 68, 30, 62, 74, 21, 28, 61, 22, 1, 42, 64, 41, 56, 23, 43, 63, 16, 51, 72, 38, 58, 39, 9, 25, 55, 31, 50, 18, 24, 32, 49, 44, 3, 40, 26, 19, 54, 13, 37, 57, 15, 4, 45, 67, 7, 35, 52, 34, 46, 8, 14, 59, 53, 65, 66, 11, 10",837.944950903263,292.944950903263
