"","solution","distance","distance_from_optimum"
"14","19, 8, 67, 75, 30, 45, 29, 13, 35, 53, 7, 46, 52, 4, 6, 68, 26, 58, 12, 17, 34, 76, 3, 44, 55, 50, 9, 32, 40, 39, 72, 10, 25, 31, 38, 65, 11, 66, 14, 59, 54, 57, 15, 20, 69, 60, 70, 71, 36, 37, 28, 62, 1, 73, 33, 51, 16, 63, 41, 42, 64, 22, 56, 18, 24, 49, 23, 43, 2, 74, 48, 47, 21, 61, 5, 27",862.592447994142,317.592447994142
"15","10, 31, 65, 11, 53, 58, 67, 4, 13, 57, 52, 46, 34, 30, 68, 2, 74, 28, 64, 42, 73, 62, 6, 76, 75, 51, 40, 12, 26, 7, 38, 66, 59, 14, 19, 35, 8, 27, 54, 15, 20, 60, 70, 36, 69, 47, 48, 21, 45, 29, 5, 37, 71, 61, 22, 1, 23, 41, 56, 43, 33, 63, 16, 44, 32, 49, 24, 50, 18, 55, 39, 17, 3, 25, 9, 72",833.402362383229,288.402362383229
"16","34, 7, 53, 35, 14, 11, 38, 66, 59, 65, 10, 9, 58, 72, 12, 26, 17, 61, 28, 74, 2, 64, 42, 43, 41, 56, 23, 63, 24, 3, 44, 40, 32, 18, 50, 39, 31, 25, 55, 4, 45, 52, 19, 8, 27, 13, 57, 48, 29, 5, 47, 60, 71, 70, 37, 20, 15, 36, 69, 21, 30, 62, 22, 33, 6, 73, 1, 16, 49, 51, 68, 75, 76, 67, 54, 46",862.285330904768,317.285330904768
"17","57, 13, 54, 59, 66, 38, 31, 39, 12, 51, 3, 24, 18, 55, 25, 50, 17, 75, 30, 2, 28, 62, 33, 22, 42, 64, 56, 23, 43, 41, 1, 73, 63, 49, 16, 40, 7, 53, 14, 11, 65, 58, 10, 72, 9, 32, 44, 26, 67, 76, 6, 68, 4, 52, 19, 35, 8, 46, 34, 27, 45, 29, 5, 37, 15, 60, 70, 71, 36, 48, 74, 61, 21, 47, 69, 20",784.784571846896,239.784571846896
"18","70, 60, 71, 36, 47, 30, 4, 51, 68, 6, 17, 26, 67, 8, 57, 13, 54, 7, 35, 53, 19, 14, 59, 39, 72, 58, 38, 65, 66, 11, 10, 31, 55, 18, 32, 50, 40, 24, 16, 63, 41, 56, 33, 73, 2, 62, 21, 69, 48, 74, 28, 61, 42, 64, 43, 22, 1, 23, 49, 3, 44, 25, 9, 12, 76, 75, 46, 34, 52, 27, 45, 29, 5, 15, 20, 37",806.61107627264,261.61107627264
"19","62, 73, 1, 21, 74, 2, 4, 30, 47, 48, 5, 13, 15, 57, 54, 7, 65, 38, 53, 35, 8, 66, 59, 14, 19, 27, 29, 37, 69, 70, 20, 60, 71, 36, 45, 52, 46, 34, 67, 76, 17, 40, 25, 55, 24, 18, 44, 51, 26, 68, 75, 6, 28, 61, 22, 42, 64, 16, 49, 31, 9, 39, 11, 10, 58, 72, 12, 50, 32, 3, 63, 56, 23, 41, 43, 33",905.660734302907,360.660734302907
"20","7, 17, 44, 32, 50, 18, 24, 49, 56, 23, 33, 73, 28, 61, 74, 2, 6, 75, 4, 67, 35, 59, 19, 8, 14, 11, 66, 65, 38, 58, 10, 25, 55, 31, 12, 72, 39, 9, 40, 26, 76, 51, 16, 3, 63, 1, 42, 41, 43, 64, 22, 62, 30, 45, 29, 37, 36, 47, 48, 5, 57, 20, 70, 60, 71, 69, 21, 68, 27, 54, 15, 13, 52, 46, 34, 53",783.220845157997,238.220845157997
"21","30, 33, 63, 23, 62, 22, 28, 21, 60, 70, 36, 47, 20, 37, 5, 71, 69, 61, 74, 73, 1, 68, 17, 76, 26, 12, 39, 72, 53, 11, 59, 19, 8, 14, 31, 66, 38, 65, 9, 32, 3, 16, 51, 40, 58, 10, 25, 55, 18, 50, 49, 41, 43, 42, 64, 56, 24, 44, 2, 6, 67, 46, 35, 7, 34, 52, 54, 13, 15, 57, 29, 48, 75, 45, 4, 27",914.250494193812,369.250494193812
"22","56, 49, 55, 50, 25, 18, 44, 24, 63, 59, 19, 54, 8, 35, 11, 58, 10, 31, 72, 38, 65, 66, 14, 46, 45, 67, 4, 30, 47, 5, 15, 57, 20, 36, 71, 74, 62, 73, 51, 17, 53, 52, 34, 12, 7, 40, 32, 39, 9, 3, 26, 68, 76, 75, 6, 1, 22, 61, 64, 42, 33, 2, 48, 29, 13, 27, 37, 60, 70, 69, 21, 28, 43, 41, 23, 16",995.347546674168,450.347546674168
"23","45, 52, 13, 46, 34, 7, 53, 11, 10, 65, 59, 14, 8, 19, 54, 35, 66, 38, 39, 12, 67, 26, 76, 32, 9, 25, 55, 50, 18, 24, 49, 3, 17, 63, 16, 44, 40, 72, 31, 58, 4, 27, 29, 51, 23, 56, 41, 42, 64, 43, 1, 22, 74, 21, 28, 62, 2, 33, 73, 30, 47, 61, 69, 71, 48, 5, 70, 15, 57, 37, 20, 60, 36, 75, 68, 6",900.75659984219,355.75659984219
"24","28, 21, 71, 69, 60, 36, 47, 5, 37, 70, 20, 15, 57, 13, 19, 59, 27, 30, 45, 76, 67, 46, 54, 29, 6, 68, 2, 73, 22, 1, 16, 49, 42, 33, 63, 23, 43, 64, 41, 56, 24, 44, 3, 51, 17, 40, 72, 38, 66, 65, 10, 31, 9, 39, 12, 32, 18, 55, 25, 50, 58, 11, 53, 14, 52, 35, 7, 8, 4, 26, 34, 75, 48, 61, 74, 62",894.291352861192,349.291352861192
"25","4, 45, 29, 57, 15, 20, 37, 70, 71, 60, 5, 21, 22, 42, 41, 56, 64, 73, 48, 36, 69, 61, 74, 2, 6, 1, 62, 43, 24, 49, 23, 33, 63, 16, 51, 12, 59, 14, 66, 11, 65, 31, 9, 25, 3, 50, 39, 40, 17, 32, 44, 18, 55, 10, 58, 72, 38, 26, 67, 47, 13, 54, 19, 8, 7, 53, 35, 34, 68, 28, 30, 27, 52, 46, 76, 75",917.558632413701,372.558632413701
"26","26, 58, 72, 31, 10, 38, 65, 53, 11, 66, 14, 59, 54, 20, 70, 60, 37, 71, 36, 5, 30, 48, 21, 74, 47, 15, 57, 45, 27, 29, 34, 7, 46, 8, 52, 13, 35, 19, 76, 4, 67, 17, 51, 6, 33, 22, 61, 69, 28, 62, 2, 68, 75, 12, 3, 49, 24, 41, 64, 43, 42, 56, 23, 1, 73, 63, 16, 18, 55, 25, 44, 32, 50, 9, 39, 40",823.08741705383,278.08741705383
"27","6, 26, 17, 56, 41, 42, 61, 28, 62, 22, 64, 1, 63, 49, 24, 32, 9, 72, 38, 10, 58, 31, 55, 50, 18, 25, 40, 39, 44, 3, 16, 51, 12, 67, 30, 74, 21, 36, 69, 60, 71, 70, 20, 47, 2, 33, 23, 43, 73, 48, 37, 29, 5, 15, 57, 8, 27, 46, 53, 66, 11, 65, 76, 4, 7, 19, 35, 14, 59, 54, 13, 34, 52, 45, 68, 75",892.234434383537,347.234434383537
"28","29, 37, 15, 54, 20, 70, 71, 60, 69, 61, 64, 1, 62, 73, 6, 67, 76, 68, 75, 17, 51, 16, 23, 56, 43, 41, 42, 63, 3, 49, 33, 22, 30, 4, 57, 13, 11, 14, 59, 66, 53, 46, 26, 72, 12, 39, 32, 50, 44, 18, 24, 55, 25, 40, 9, 31, 10, 65, 38, 58, 35, 19, 52, 34, 8, 7, 27, 5, 36, 47, 21, 28, 74, 2, 48, 45",891.370651835897,346.370651835897
"29","70, 69, 60, 36, 21, 1, 73, 41, 43, 64, 42, 56, 23, 63, 33, 6, 68, 46, 8, 7, 35, 38, 11, 54, 19, 53, 67, 76, 17, 75, 4, 51, 32, 40, 9, 10, 58, 31, 66, 14, 59, 65, 39, 55, 3, 44, 49, 24, 18, 50, 25, 72, 12, 26, 2, 74, 47, 61, 16, 62, 28, 22, 30, 45, 57, 5, 37, 71, 13, 52, 34, 27, 48, 29, 15, 20",946.309832087226,401.309832087226
"30","51, 41, 22, 64, 42, 43, 63, 49, 16, 33, 75, 76, 12, 52, 29, 6, 3, 72, 10, 31, 58, 38, 66, 59, 14, 19, 35, 53, 11, 65, 39, 32, 9, 55, 25, 50, 44, 18, 24, 56, 23, 1, 73, 62, 74, 2, 61, 28, 21, 69, 71, 70, 60, 15, 5, 48, 37, 47, 36, 20, 13, 54, 57, 27, 46, 34, 8, 7, 4, 30, 68, 45, 67, 26, 40, 17",857.636927991016,312.636927991016
