"","config_name","config_name2","avg_results"
"1",10,100,0.527799186627652
"2",25,250,8.01202404393742e-05
"3",50,500,0.000184716228237125
"4",100,1000,0.000204066060423092
"5",200,2000,0.000149652408492162
"6",10,2000,3.75917474304543e-07
"7",25,1000,1.86453899688743e-06
"8",50,500,0.000141680349909112
"9",100,250,0.00060993797592781
"10",200,100,0.00237002510836826
